epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,8651.43,1.46954,1.26111,1.30006,0.15402,0.25758,0.1089,0.02603,2.77167,2.88579,2.59247,6.63292e-05,6.63292e-05,6.63292e-05
129,8681.29,1.50811,1.24975,1.26838,0.15796,0.25758,0.10698,0.02563,2.77253,2.89253,2.60054,6.16227e-05,6.16227e-05,6.16227e-05
130,8707.67,1.49796,1.3168,1.32105,0.16009,0.25758,0.10464,0.02499,2.76125,2.91292,2.5902,5.71106e-05,5.71106e-05,5.71106e-05
131,8734.47,1.46609,1.28037,1.31081,0.15403,0.27424,0.10678,0.02579,2.7597,2.9028,2.58734,5.2795e-05,5.2795e-05,5.2795e-05
132,8760.51,1.49596,1.27822,1.28968,0.14701,0.25758,0.11031,0.02653,2.76219,2.90966,2.59474,4.86777e-05,4.86777e-05,4.86777e-05
133,8786.46,1.50764,1.28232,1.3067,0.15443,0.27424,0.10989,0.02685,2.76816,2.91246,2.59957,4.47606e-05,4.47606e-05,4.47606e-05
134,8812.72,1.54432,1.35787,1.32012,0.15796,0.27424,0.10721,0.02669,2.7718,2.91789,2.61367,4.10454e-05,4.10454e-05,4.10454e-05
135,8839.75,1.48249,1.25373,1.27843,0.15029,0.25758,0.11005,0.02761,2.78187,2.9004,2.62681,3.75337e-05,3.75337e-05,3.75337e-05
136,8866.29,1.54003,1.3202,1.30241,0.14758,0.24091,0.10755,0.02729,2.78586,2.89083,2.62524,3.4227e-05,3.4227e-05,3.4227e-05
137,8892.77,1.52256,1.29486,1.3309,0.13694,0.25771,0.10744,0.02736,2.78782,2.88569,2.62532,3.11268e-05,3.11268e-05,3.11268e-05
138,8919.4,1.42835,1.29638,1.29732,0.14403,0.26515,0.10868,0.02756,2.78828,2.8704,2.61467,2.82345e-05,2.82345e-05,2.82345e-05
139,8945.56,1.47558,1.2368,1.27949,0.14104,0.26927,0.10822,0.02749,2.79193,2.85673,2.61117,2.55513e-05,2.55513e-05,2.55513e-05
140,8972.01,1.48802,1.27788,1.29162,0.14017,0.24091,0.11078,0.02781,2.7873,2.85811,2.59682,2.30784e-05,2.30784e-05,2.30784e-05
141,9004.95,1.31022,1.08607,1.24451,0.1528,0.26465,0.10861,0.02763,2.7871,2.83971,2.59167,2.08169e-05,2.08169e-05,2.08169e-05
142,9032.29,1.31246,1.07509,1.23927,0.14259,0.26515,0.10254,0.02587,2.79597,2.83083,2.58138,1.87678e-05,1.87678e-05,1.87678e-05
143,9062.73,1.27696,1.05074,1.21682,0.13874,0.26515,0.10066,0.02543,2.80461,2.82367,2.59447,1.6932e-05,1.6932e-05,1.6932e-05
144,9089.19,1.28783,1.06211,1.21894,0.14057,0.26515,0.1053,0.02622,2.80628,2.84602,2.59509,1.53102e-05,1.53102e-05,1.53102e-05
145,9117.82,1.27967,1.06607,1.25173,0.13952,0.26515,0.10103,0.02568,2.80932,2.85912,2.5994,1.39032e-05,1.39032e-05,1.39032e-05
146,9146.22,1.26401,1.00687,1.19723,0.13495,0.25758,0.10073,0.02529,2.80675,2.86972,2.60785,1.27117e-05,1.27117e-05,1.27117e-05
147,9173.51,1.28982,1.04686,1.25543,0.1386,0.28939,0.10006,0.02359,2.80328,2.88318,2.6031,1.1736e-05,1.1736e-05,1.1736e-05
148,12676.6,1.25393,1.05707,1.2158,0.13386,0.27273,0.10206,0.02379,2.80619,2.88427,2.61798,1.09768e-05,1.09768e-05,1.09768e-05
149,12706.7,1.30271,1.05083,1.24335,0.13253,0.27389,0.0994,0.02314,2.80392,2.88254,2.61849,1.04342e-05,1.04342e-05,1.04342e-05
